id,number,title,state,author,created_at,updated_at,closed_at,merged_at,merged_by,comments_count,review_comments_count,commits_count,additions,deletions
1736855360,11488,Solving issue #11362. Creating nltk_data in the $HOME directory.,open,javierganan99,2024-02-21T13:36:15Z,2024-02-23T17:38:32Z,,,,0,0,0,0,0
1713056912,11462,[Fix] Mismatch Between bboxes and scores During NMS in Confusion Matrix Calculation,open,mochiriku,2024-02-06T06:50:14Z,2024-02-23T09:12:18Z,,,,0,0,0,0,0
1730809633,11477,Update customize_models.md,closed,jsanhuo,2024-02-17T12:28:05Z,2024-02-23T09:11:53Z,2024-02-23T09:11:53Z,2024-02-23T09:11:53Z,,0,0,0,0,0
1617892144,11217,[MMSIG] Add the ovdet algorithm to the mmdet projects,open,Shengshenlan,2023-11-27T12:38:56Z,2024-02-23T09:08:46Z,,,,0,0,0,0,0
1494864295,10856,[CodeCamp2023-488] Add new configuration files for SoftTeacher algorithm in mmdetection.,open,Shengshenlan,2023-08-30T05:33:41Z,2024-02-23T09:08:46Z,,,,0,0,0,0,0
1718065977,11467,RTMDet训练中显存异常激增的一个修复方案,closed,Baboom-l,2024-02-08T17:17:52Z,2024-02-20T04:22:50Z,2024-02-20T04:22:50Z,,,0,0,0,0,0
1582012211,11113,[MMSIG] MMDet 新 config 体验与适配 #355,open,Shengshenlan,2023-11-01T03:45:51Z,2024-02-11T05:11:44Z,,,,0,0,0,0,0
1713099637,11464,"Update grounding_dino_swin-t_pretrain_obj365.py, adding GIOU loss.",closed,plutoyuxie,2024-02-06T07:27:54Z,2024-02-06T08:16:13Z,2024-02-06T08:13:21Z,,,0,0,0,0,0
1683730438,11397,adjust avg_factor for ONNX exporter,open,prathikr,2024-01-17T21:43:12Z,2024-02-05T22:24:11Z,,,,0,0,0,0,0
1711648157,11460,Release MM-GroundingDINO SwinB and SwinL Weights,closed,hhaAndroid,2024-02-05T13:12:27Z,2024-02-05T13:23:18Z,2024-02-05T13:23:18Z,2024-02-05T13:23:18Z,,0,0,0,0,0
1710887502,11458,Release MM-GroundingDINO SwinB and SwinL Weights,closed,hhaAndroid,2024-02-05T04:59:03Z,2024-02-05T13:11:41Z,2024-02-05T13:11:41Z,2024-02-05T13:11:41Z,,0,0,0,0,0
1480198057,10809,Improve DINO,closed,hhaAndroid,2023-08-18T08:30:52Z,2024-02-05T10:07:54Z,2023-08-21T05:04:54Z,2023-08-21T05:04:54Z,,0,0,0,0,0
1685940656,11404,fix:grounding_pretrain_text_trans_negative_label,closed,Baboom-l,2024-01-19T03:43:31Z,2024-02-01T02:52:22Z,2024-02-01T02:52:22Z,2024-02-01T02:52:22Z,,0,0,0,0,0
1701349917,11442,use `lerp` in ema,closed,RangiLyu,2024-01-30T06:20:14Z,2024-02-01T02:51:52Z,2024-02-01T02:51:51Z,2024-02-01T02:51:51Z,,0,0,0,0,0
1702027044,11444,Support importing train.py,open,amosonn,2024-01-30T12:53:34Z,2024-02-01T02:49:45Z,,,,0,0,0,0,0
1703910347,11451,[Bug Fix] video_demo bug fixed for issue#11353,closed,Jun0922,2024-01-31T11:45:46Z,2024-02-01T02:49:23Z,2024-02-01T02:49:23Z,2024-02-01T02:49:23Z,,0,0,0,0,0
1703870137,11450,[Bug Fix] video_demo.py bug fixed for issue#11353,closed,Jun0922,2024-01-31T11:18:51Z,2024-01-31T11:35:33Z,2024-01-31T11:35:33Z,,,0,0,0,0,0
1695662582,11430,[fix] use image instead of ori_mask to get shape,closed,AItairs,2024-01-25T14:01:36Z,2024-01-25T15:21:49Z,2024-01-25T15:21:49Z,,,0,0,0,0,0
1092288213,9076,add Extended-IOU loss implementation ,open,Wwupup,2022-10-19T12:46:22Z,2024-01-25T14:08:25Z,,,,0,0,0,0,0
1576143702,11099,[Feature] Support OC Cost metric,open,okotaku,2023-10-27T08:16:12Z,2024-01-20T15:24:34Z,,,,0,0,0,0,0
1682506948,11392,fix_grounding_pretrain_negative_label,closed,Baboom-l,2024-01-17T08:25:03Z,2024-01-19T03:38:39Z,2024-01-19T03:38:39Z,,,0,0,0,0,0
1682502594,11391,Fix: Obtaining cat_id through class name may cause bug in some cases,open,mjq2020,2024-01-17T08:21:56Z,2024-01-17T08:34:27Z,,,,0,0,0,0,0
1629478869,11251,Fix bug in convert_coco_format,closed,ImJaewooChoi,2023-12-05T03:21:54Z,2024-01-16T13:15:51Z,2023-12-22T10:03:16Z,2023-12-22T10:03:16Z,,0,0,0,0,0
1671718913,11355,Fix for None,open,godardt,2024-01-10T04:44:24Z,2024-01-10T04:45:19Z,,,,0,0,0,0,0
